Date,Close,High,Low,Open,Volume,Dividends,Stock Splits,Symbol
2025-02-10,8.38,8.64,8.34,8.54,120600,0.0,0.0,DOMO
2025-02-07,8.38,8.55,8.25,8.42,208900,0.0,0.0,DOMO
2025-02-06,8.44,8.76,8.36,8.76,229600,0.0,0.0,DOMO
2025-02-05,8.73,9.38,8.66,9.32,440300,0.0,0.0,DOMO
2025-02-04,9.14,9.53,8.89,8.97,1586800,0.0,0.0,DOMO
2025-02-03,8.84,8.95,8.2,8.24,534200,0.0,0.0,DOMO
2025-01-31,8.47,8.61,8.29,8.31,293200,0.0,0.0,DOMO
2025-01-30,8.26,8.35,8.05,8.05,234200,0.0,0.0,DOMO
2025-01-29,7.99,8.04,7.74,8.04,201800,0.0,0.0,DOMO
2025-01-28,8.07,8.15,7.82,8.0,233300,0.0,0.0,DOMO
2025-01-27,7.95,8.01,7.48,7.51,302900,0.0,0.0,DOMO
2025-01-24,7.69,7.85,7.66,7.66,142300,0.0,0.0,DOMO
2025-01-23,7.69,7.69,7.48,7.48,197900,0.0,0.0,DOMO
2025-01-22,7.56,7.59,7.42,7.45,261300,0.0,0.0,DOMO
2025-01-21,7.45,7.48,7.24,7.35,281900,0.0,0.0,DOMO
2025-01-17,7.26,7.32,7.04,7.29,262400,0.0,0.0,DOMO
2025-01-16,7.12,7.17,6.82,6.82,303600,0.0,0.0,DOMO
2025-01-15,6.79,6.84,6.68,6.79,265500,0.0,0.0,DOMO
2025-01-14,6.62,6.77,6.54,6.71,268400,0.0,0.0,DOMO
2025-01-13,6.68,6.75,6.55,6.7,212500,0.0,0.0,DOMO
2025-01-10,6.8,6.91,6.7,6.91,240000,0.0,0.0,DOMO
2025-01-08,6.98,7.08,6.84,7.03,320500,0.0,0.0,DOMO
2025-01-07,7.11,7.38,6.91,7.38,431900,0.0,0.0,DOMO
2025-01-06,7.27,7.31,7.09,7.18,328700,0.0,0.0,DOMO
2025-01-03,7.11,7.2,7.01,7.14,370400,0.0,0.0,DOMO
2025-01-02,7.09,7.27,7.01,7.18,242700,0.0,0.0,DOMO
2024-12-31,7.08,7.39,7.07,7.3,287200,0.0,0.0,DOMO
2024-12-30,7.22,7.32,7.05,7.23,251600,0.0,0.0,DOMO
2024-12-27,7.37,7.47,7.16,7.43,242800,0.0,0.0,DOMO
2024-12-26,7.42,7.46,6.96,7.02,294900,0.0,0.0,DOMO
2024-12-24,7.07,7.15,6.98,7.05,159500,0.0,0.0,DOMO
2024-12-23,7.06,7.12,6.92,7.12,483000,0.0,0.0,DOMO
2024-12-20,7.13,7.31,7.0,7.05,723200,0.0,0.0,DOMO
2024-12-19,7.15,7.38,7.13,7.31,324500,0.0,0.0,DOMO
2024-12-18,7.23,7.81,7.15,7.73,451600,0.0,0.0,DOMO
2024-12-17,7.69,7.73,7.21,7.37,478500,0.0,0.0,DOMO
2024-12-16,7.41,7.53,7.3,7.33,344500,0.0,0.0,DOMO
2024-12-13,7.34,7.72,7.32,7.72,297200,0.0,0.0,DOMO
2024-12-12,7.72,7.93,7.7,7.78,239800,0.0,0.0,DOMO
2024-12-11,7.85,8.01,7.67,7.78,348100,0.0,0.0,DOMO
2024-12-10,7.67,7.85,7.58,7.81,473800,0.0,0.0,DOMO
2024-12-09,7.9,8.15,7.81,8.01,760400,0.0,0.0,DOMO
2024-12-06,7.98,9.84,7.7,9.19,1247500,0.0,0.0,DOMO
2024-12-05,9.74,10.15,9.66,9.92,470300,0.0,0.0,DOMO
