Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2025-05-09,18.9,20.44,17.8,18.94,1368100,0.0,0.0,0.0
2025-05-08,30.17,30.35,22.98,23.91,937500,0.0,0.0,0.0
2025-05-07,36.13,37.54,35.59,37.2,59600,0.0,0.0,0.0
2025-05-06,38.79,39.0,37.25,37.73,86800,0.0,0.0,0.0
2025-05-05,37.28,37.35,36.0,36.3,75800,0.0,0.0,0.0
2025-05-02,35.69,35.93,34.47,35.55,88900,0.0,0.0,0.0
2025-05-01,35.04,36.02,33.76,35.29,126200,4.059,0.0,0.0
2025-04-30,38.33,39.92,37.53,37.65,98700,0.0,0.0,0.0
2025-04-29,36.56,36.73,35.94,36.23,36100,0.0,0.0,0.0
2025-04-28,37.22,39.45,37.05,37.2,90300,0.0,0.0,0.0
2025-04-25,38.53,38.53,35.99,36.96,119200,0.0,0.0,0.0
2025-04-24,38.83,39.59,38.07,38.83,133200,0.0,0.0,0.0
2025-04-23,36.22,38.89,35.6,37.7,197500,0.0,0.0,0.0
2025-04-22,46.79,46.79,40.17,41.84,333400,0.0,0.0,0.0
2025-04-21,46.56,50.63,45.87,50.07,130300,0.0,0.0,0.0
2025-04-17,48.51,50.93,47.32,49.52,101600,0.0,0.0,0.0
2025-04-16,49.85,51.89,47.49,48.7,182100,0.0,0.0,0.0
2025-04-15,45.91,48.03,44.87,47.84,129000,0.0,0.0,0.0
2025-04-14,44.03,47.31,42.83,46.14,286100,0.0,0.0,0.0
2025-04-11,51.48,52.47,49.27,50.82,143700,0.0,0.0,0.0
2025-04-10,50.47,57.0,50.19,54.97,305900,0.0,0.0,0.0
2025-04-09,63.22,63.22,44.96,47.3,243800,0.0,0.0,0.0
2025-04-08,53.68,63.22,53.64,62.27,204100,0.0,0.0,0.0
2025-04-07,58.54,59.32,52.31,56.43,415000,0.0,0.0,0.0
2025-04-04,45.32,45.66,42.76,43.8,199500,0.0,0.0,0.0
2025-04-03,45.57,46.25,44.45,44.95,194100,0.0,0.0,0.0
2025-04-02,41.86,42.03,39.36,39.57,204400,0.0,0.0,0.0
2025-04-01,41.59,43.06,38.92,39.73,186800,2.732,0.0,0.0
2025-03-31,43.97,45.06,42.53,43.83,149600,0.0,0.0,0.0
2025-03-28,40.94,42.14,40.66,41.75,166900,0.0,0.0,0.0
2025-03-27,36.68,37.44,36.04,36.91,96500,0.0,0.0,0.0
2025-03-26,35.16,37.54,35.06,37.12,130000,0.0,0.0,0.0
2025-03-25,34.53,35.1,34.19,34.48,131600,0.0,0.0,0.0
2025-03-24,34.43,34.83,33.58,34.0,189300,0.0,0.0,0.0
2025-03-21,39.59,39.97,38.48,38.63,113300,0.0,0.0,0.0
2025-03-20,38.03,39.26,37.25,38.5,142500,0.0,0.0,0.0
2025-03-19,37.33,37.66,35.3,36.27,240700,0.0,0.0,0.0
2025-03-18,42.3,43.51,41.99,42.1,103400,0.0,0.0,0.0
2025-03-17,42.41,42.72,40.03,40.42,86000,0.0,0.0,0.0
2025-03-14,42.43,43.55,40.37,40.69,155700,0.0,0.0,0.0
2025-03-13,42.62,46.2,42.62,44.85,333500,0.0,0.0,0.0
2025-03-12,42.32,45.26,42.14,43.54,195000,0.0,0.0,0.0
2025-03-11,42.1,45.77,39.91,40.49,383000,0.0,0.0,0.0
2025-03-10,36.55,46.36,36.52,44.6,580700,0.0,0.0,0.0
2025-03-07,34.25,35.55,32.12,35.13,183600,0.0,0.0,0.0
2025-03-06,32.35,34.42,31.73,33.64,285200,0.0,0.0,0.0
2025-03-05,33.97,35.19,32.73,32.75,206500,0.0,0.0,0.0
2025-03-04,38.37,40.59,34.01,35.82,410300,0.0,0.0,0.0
2025-03-03,29.25,37.21,28.94,36.32,454600,0.0,0.0,0.0
2025-02-28,35.05,35.76,32.55,33.44,297200,0.0,0.0,0.0
2025-02-27,30.17,32.65,29.89,32.45,232100,0.0,0.0,0.0
2025-02-26,29.42,31.86,27.75,30.33,203100,0.0,0.0,0.0
2025-02-25,28.48,29.33,26.47,26.93,336700,0.0,0.0,0.0
2025-02-24,23.67,24.35,23.45,24.19,271600,0.0,0.0,0.0
2025-02-21,21.22,24.55,21.09,24.45,404400,0.0,0.0,0.0
2025-02-20,22.23,23.11,22.09,22.41,429500,0.0,0.0,0.0
2025-02-19,22.97,23.61,22.78,22.94,261700,0.0,0.0,0.0
2025-02-18,23.09,25.02,23.09,24.6,285200,0.0,0.0,0.0
2025-02-14,23.47,23.7,21.77,22.9,276700,0.0,0.0,0.0
2025-02-13,24.37,24.97,24.04,24.26,356600,0.0,0.0,0.0
2025-02-12,26.03,26.36,23.53,23.88,563600,0.0,0.0,0.0
2025-02-11,24.37,25.66,24.13,25.42,155800,0.0,0.0,0.0
2025-02-10,24.33,24.69,23.74,23.83,132500,0.0,0.0,0.0
2025-02-07,22.28,26.01,22.14,25.79,601100,0.0,0.0,0.0
2025-02-06,22.72,24.19,22.48,23.47,184200,0.0,0.0,0.0
2025-02-05,21.81,23.45,21.81,22.78,294900,0.0,0.0,0.0
2025-02-04,22.16,23.36,20.84,23.11,1123300,0.0,0.0,0.0
2025-02-03,25.1,25.28,23.01,23.7,653800,0.0,0.0,0.0
2025-01-31,17.05,17.53,16.54,17.27,729900,0.0,0.0,0.0
2025-01-30,17.56,17.85,17.19,17.8,122900,0.0,0.0,0.0
2025-01-29,19.3,19.94,18.47,18.95,155700,0.0,0.0,0.0
2025-01-28,18.55,19.55,18.23,19.53,136000,0.0,0.0,0.0
2025-01-27,19.38,19.86,18.79,18.85,263900,0.0,0.0,0.0
2025-01-24,16.2,16.97,15.92,16.95,208100,0.0,0.0,0.0
2025-01-23,17.98,18.4,17.26,17.82,226300,0.0,0.0,0.0
2025-01-22,17.18,17.85,17.18,17.76,77400,0.0,0.0,0.0
2025-01-21,16.92,17.56,16.63,17.1,159800,0.0,0.0,0.0
